"robustez_low" "MAT" "MAP" "CV" "TS" "PDQ"
"1" 0.660070731809381 -1 462 86 3979 24
"2" 0.654019688879843 -1 462 86 3979 24
"3" 0.644674985648864 -1 462 86 3979 24
"4" 0.512604496207948 44 1088 10 10217 244
"5" 0.640692347475637 -29 810 28 7189 149
"6" 0.648973825774049 103 618 15 4786 125
"7" 0.633523012552383 97 603 13 4860 126
"8" 0.693996265575127 102 493 88 4489 5
"9" 0.592624207349448 -35 639 29 7323 109
"10" 0.78388007388334 -112 256 23 9285 40
"11" 0.737436571109336 206 1917 51 2194 217
"12" 0.640602428074604 155 442 85 3120 6
"13" 0.59769938498481 146 917 65 3272 57
"14" 0.632757560919375 -180 110 44 13457 15
"15" 0.684490577542861 174 434 62 6557 22
"16" 0.592550145676684 178 521 64 5009 14
"17" 0.704109942410637 99 800 16 4544 167
"18" 0.684295547094413 73 662 21 6176 116
"19" 0.665874756248502 40 1690 23 4833 307
"20" 0.601225332473446 -180 110 44 13457 15
"21" 0.571793086958952 108 1998 33 8367 336
"22" 0.634954723454474 19 517 67 4347 46
"23" 0.569827950013785 100 243 18 4590 52
"24" 0.618535562393472 -177 95 76 14105 7
"25" 0.694076920039278 145 1163 11 7651 259
"26" 0.638862621325568 238 335 69 1575 36
"27" 0.614124136604674 65 3373 14 3773 700
"28" 0.622738761570276 87 2503 14 3657 519
"29" 0.630833180274405 51 2615 14 3893 535
"30" 0.612653752502458 274 1209 84 928 12
"31" 0.662033722916049 204 2404 53 380 188
"32" 0.638705513974728 108 955 25 9821 158
"33" 0.774901865691316 60 883 14 10923 176
"34" 0.633587020248702 104 2316 42 2331 321
"35" 0.750418568525912 266 1715 47 944 204
"36" 0.680508038406451 147 1578 36 3152 206
"37" 0.590300735878462 73 662 21 6176 116
"38" 0.630271362267567 73 662 21 6176 116
"39" 0.635827903151129 95 498 89 4704 5
"40" 0.662745517105836 246 1674 33 952 247
"41" 0.677418142121619 257 1871 37 972 249
"42" 0.710331338867261 238 309 86 1518 24
"43" 0.668102589621919 72 670 21 6171 117
"44" 0.573542118840684 213 2951 31 4955 494
"45" 0.651375951327484 -66 262 34 8536 42
"46" 0.806775780670764 76 615 21 6051 107
"47" 0.627125846049289 73 778 24 5903 136
"48" 0.645517818981172 75 796 24 5837 139
"49" 0.63041139226546 76 615 21 6051 107
"50" 0.655897611750847 95 498 89 4704 5
"51" 0.619217046535433 84 1210 57 4118 148
"52" 0.64304117782062 -51 262 34 9978 40
"53" 0.596013013069602 143 1891 56 7630 181
"54" 0.593347796921683 153 1725 42 8188 224
"55" 0.624112071697742 147 2306 23 8028 444
"56" 0.601407023018351 92 1708 48 8222 162
"57" 0.578573110952303 114 1929 37 8333 295
"58" 0.688765852405602 149 612 30 5187 108
"59" 0.763060437068049 221 666 58 1603 54
"60" 0.642274942136037 NA NA NA NA NA
"61" 0.6740550761333 NA NA NA NA NA
"62" 0.674891105365022 NA NA NA NA NA
"63" 0.660773640679409 NA NA NA NA NA
"64" 0.6270722325159 NA NA NA NA NA
"65" 0.595398716201358 NA NA NA NA NA
"66" 0.600565751419713 NA NA NA NA NA
"67" 0.628201598986126 NA NA NA NA NA
"68" 0.60004120172435 NA NA NA NA NA
"69" 0.63172204267971 NA NA NA NA NA
"70" 0.639925058651884 NA NA NA NA NA
"71" 0.648882837535374 NA NA NA NA NA
"72" 0.565722082448182 NA NA NA NA NA
"73" 0.689917165896009 NA NA NA NA NA
"74" 0.700824413949708 NA NA NA NA NA
"75" 0.648459478686721 NA NA NA NA NA
"76" 0.656809907175618 NA NA NA NA NA
"77" 0.644810722923588 NA NA NA NA NA
"78" 0.677512117888495 NA NA NA NA NA
"79" 0.635311306319806 NA NA NA NA NA
"80" 0.552304254233498 NA NA NA NA NA
"81" 0.604479457917478 NA NA NA NA NA
"82" 0.648829312558078 NA NA NA NA NA
"83" 0.600813266017853 NA NA NA NA NA
"84" 0.561478904728677 260 2259 48 622 235
"85" 0.553474941346527 260 2259 48 622 235
"86" 0.60963287009551 260 2259 48 622 235
"87" 0.665455350430239 260 2259 48 622 235
"88" 0.618781683037784 260 2259 48 622 235
"89" 0.623627596418004 260 2259 48 622 235
"90" 0.666794225041388 260 2259 48 622 235
"91" 0.586236417387013 260 2259 48 622 235
"92" 0.573085322879201 260 2259 48 622 235
"93" 0.589365358112915 260 2259 48 622 235
"94" 0.57094084063125 260 2259 48 622 235
"95" 0.579805773102386 260 2259 48 622 235
"96" 0.630945478015871 260 2259 48 622 235
"97" 0.598270888385325 260 2259 48 622 235
"98" 0.622040340799036 260 2259 48 622 235
"99" 0.634077960488716 260 2259 48 622 235
"100" 0.577083104348015 260 2259 48 622 235
"101" 0.615433790200286 260 2259 48 622 235
"102" 0.591598039269141 260 2259 48 622 235
"103" 0.598725574851577 260 2259 48 622 235
"104" 0.638208810693205 260 2259 48 622 235
"105" 0.56091835468227 260 2259 48 622 235
"106" 0.594166253231281 260 2259 48 622 235
"107" 0.650466547651687 260 2259 48 622 235
"108" 0.643588661913784 260 2259 48 622 235
"109" 0.665983176841616 260 2259 48 622 235
"110" 0.643933156710425 260 2259 48 622 235
"111" 0.549975619325947 260 2259 48 622 235
"112" 0.622944795090316 260 2259 48 622 235
"113" 0.635576370155893 260 2259 48 622 235
"114" 0.623349914264362 260 2259 48 622 235
"115" 0.557418424292952 260 2259 48 622 235
"116" 0.522222222222222 260 2259 48 622 235
"117" 0.578571428571429 260 2259 48 622 235
"118" 0.575548771716476 260 2259 48 622 235
"119" 0.595580653508199 260 2259 48 622 235
"120" 0.608262195267855 260 2259 48 622 235
"121" 0.633528243314726 260 2259 48 622 235
"122" 0.613667333559679 260 2259 48 622 235
"123" 0.639558495055888 260 2259 48 622 235
"124" 0.560493827160494 260 2259 48 622 235
"125" 0.580485130848626 260 2259 48 622 235
"126" 0.583726590724576 260 2259 48 622 235
"127" 0.572796730739532 260 2259 48 622 235
"128" 0.627024382020634 260 2259 48 622 235
"129" 0.606431972560893 260 2259 48 622 235
"130" 0.641785021968689 260 2259 48 622 235
"131" 0.657275411538282 260 2259 48 622 235
"132" 0.810037943139978 118 954 22 9553 164
"133" 0.724277679191811 201 1264 76 2151 60
"134" 0.897228875967344 262 772 109 1644 12
"135" 0.90735930805812 198 1475 72 2252 80
"136" 0.856935596175223 225 379 88 1455 10
"137" 0.835427483446524 148 1416 44 194 146
"138" 0.869459295522587 158 703 91 1964 25
