"Species" "Interactions" "Connectance" "robustez_low" "MAT" "MAP" "CV" "TS" "PDQ" "Latitude" "Longitude" "Região"
"M_PL_061_25" 16 21 0.382 0.63339786540747 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_26" 20 28 0.308 0.684552709725216 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_27" 19 21 0.269 0.589049154375793 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_28" 27 36 0.237 0.60717660639257 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_29" 26 39 0.271 0.670426221660004 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_30" 20 30 0.33 0.653496273107534 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_31" 24 35 0.368 0.621302789694763 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_32" 24 28 0.259 0.567065825765865 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_33" 8 6 0.5 0.477777777777778 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_34" 10 9 0.429 0.525 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_35" 22 19 0.162 0.558813914850784 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_36" 24 31 0.261 0.586009640417264 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_37" 30 43 0.206 0.627676452995937 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_38" 33 49 0.213 0.638694814092219 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_39" 30 46 0.286 0.627526158842528 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_40" 35 58 0.248 0.650930523231203 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_41" 13 11 0.306 0.527160493827161 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_42" 17 16 0.242 0.554995221700481 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_43" 25 26 0.181 0.596478490004774 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_44" 21 23 0.209 0.596227534170623 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_45" 34 50 0.198 0.634941885561597 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_46" 34 45 0.165 0.629708773695648 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_47" 35 57 0.244 0.642628027349621 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_061_48" 23 32 0.254 0.650991489171366 260 2259 48 622 235 -4.666667 55.43333 "Tropical"
"M_PL_064" 22 32 0.286 0.717625630614121 201 1264 76 2151 60 -20.75 -42.92 "Tropical"
"M_PL_065" 26 44 0.419 0.899840144402579 262 772 109 1644 12 19.5 -105.05 "Tropical"
"M_PL_066" 36 73 0.471 0.911109955314211 198 1475 72 2252 80 -22.5 -44.83 "Tropical"
"M_PL_067" 36 59 0.263 0.875549473593166 225 379 88 1455 10 -7.87 -36.4 "Tropical"
